syscall number,syscall,%rax,%rdi,%rsi,%rdx,%rcx,%r8,%r9
80,sys_chdir,0x50,const char *filename,,,,,
81,sys_fchdir,0x51,unsigned int fd,,,,,
82,sys_rename,0x52,const char *oldname,const char *newname,,,,
83,sys_mkdir,0x53,const char *pathname,int mode,,,,
84,sys_rmdir,0x54,const char *pathname,,,,,
85,sys_creat,0x55,const char *pathname,int mode,,,,
86,sys_link,0x56,const char *oldname,const char *newname,,,,
87,sys_unlink,0x57,const char *pathname,,,,,
88,sys_symlink,0x58,const char *oldname,const char *newname,,,,
89,sys_readlink,0x59,const char *path,char *buf,int bufsiz,,,
90,sys_chmod,0x5A,const char *filename,mode_t mode,,,,
91,sys_fchmod,0x5B,unsigned int fd,mode_t mode,,,,
92,sys_chown,0x5C,const char *filename,uid_t user,git_t group,,,
93,sys_fchown,0x5D,unsigned int fd,uid_t user,git_t group,,,
94,sys_lchown,0x5E,const char *filename,uid_t user,git_t group,,,
95,sys_umask,0x5F,int mask,,,,,
96,sys_gettimeofday,0x60,struct timeval *tv,struct timezone *tz,,,,
97,sys_getrlimit,0x61,unsigned int resource,struct rlimit *rlim,,,,
98,sys_getrusage,0x62,int who,struct rusage *ru,,,,
99,sys_sysinfo,0x63,struct sysinfo *info,,,,,
100,sys_times,0x64,struct sysinfo *info,,,,,
101,sys_ptrace,0x65,long request,long pid,unsigned long addr,unsigned long data,,
102,sys_getuid,0x66,,,,,,
103,sys_syslog,0x67,int type,char *buf,int len,,,
104,sys_getgid,0x68,,,,,,
105,sys_setuid,0x69,uid_t uid,,,,,
106,sys_setgid,0x6A,git_t gid,,,,,
107,sys_geteuid,0x6B,,,,,,
108,sys_getegid,0x6C,,,,,,
109,sys_setpgid,0x6D,pid_t pid,pid_t pgid,,,,
110,sys_getppid,0x6E,,,,,,
111,sys_getpgrp,0x6F,,,,,,
112,sys_setsid,0x70,,,,,,
113,sys_setreuid,0x71,uid_t ruid,uid_t euid,,,,
114,sys_setregid,0x72,git_t rgid,gid_t egid,,,,
115,sys_getgroups,0x73,int gidsetsize,gid_t *grouplist,,,,
116,sys_setgroups,0x74,int gidsetsize,gid_t *grouplist,,,,
117,sys_setresuid,0x75,uid_t *ruid,uid_t *euid,uid_t *suid,,,
118,sys_getresuid,0x76,uid_t *ruid,uid_t *euid,uid_t *suid,,,
119,sys_setresgid,0x77,gid_t rgid,gid_t egid,gid_t sgid,,,
120,sys_getresgid,0x78,git_t *rgid,git_t *egid,git_t *sgid,,,
121,sys_getpgid,0x79,pid_t pid,,,,,
122,sys_setfsuid,0x7A,uid_t uid,,,,,
123,sys_setfsgid,0x7B,gid_t gid,,,,,
124,sys_getsid,0x7C,pid_t pid,,,,,
125,sys_capget,0x7D,cap_user_header_t header,cap_user_data_t dataptr,,,,
126,sys_capset,0x7E,cap_user_header_t header,const cap_user_data_t data,,,,
127,sys_rt_sigpending,0x7F,sigset_t *set,size_t sigsetsize,,,,
128,sys_rt_sigtimedwait,0x80,const sigset_t *uthese,siginfo_t *uinfo,const struct timespec *uts,size_t sigsetsize,,
129,sys_rt_sigqueueinfo,0x81,pid_t pid,int sig,siginfo_t *uinfo,,,
130,sys_rt_sigsuspend,0x82,sigset_t *unewset,size_t sigsetsize,,,,
131,sys_sigaltstack,0x83,const stack_t *uss,stack_t *uoss,,,,
132,sys_utime,0x84,char *filename,struct utimbuf *times,,,,
133,sys_mknod,0x85,const char *filename,int mode,unsigned dev,,,
134,sys_uselib,0x86,NOT IMPLEMENTED,,,,,
135,sys_personality,0x87,unsigned int personality,,,,,
136,sys_ustat,0x88,unsigned dev,struct ustat *ubuf,,,,
137,sys_statfs,0x89,const char *pathname,struct statfs *buf,,,,
138,sys_fstatfs,0x8A,unsigned int fd,struct statfs *buf,,,,
139,sys_sysfs,0x8B,int option,unsigned long arg1,unsigned long arg2,,,
140,sys_getpriority,0x8C,int which,int who,,,,
141,sys_setpriority,0x8D,int which,int who,int niceval,,,
142,sys_sched_setparam,0x8E,pid_t pid,struct sched_param *param,,,,
143,sys_sched_getparam,0x8F,pid_t pid,struct sched_param *param,,,,
144,sys_sched_setscheduler,0x90,pid_t pid,int policy,struct sched_param *param,,,
145,sys_sched_getscheduler,0x91,pid_t pid,,,,,
146,sys_sched_get_priority_max,0x92,int policy,,,,,
147,sys_sched_get_priority_min,0x93,int policy,,,,,
148,sys_sched_rr_get_interval,0x94,pid_t pid,struct timespec *interval,,,,
149,sys_mlock,0x95,unsigned long start,size_t len,,,,
150,sys_munlock,0x96,unsigned long start,size_t len,,,,
151,sys_mlockall,0x97,int flags,,,,,
152,sys_munlockall,0x98,,,,,,
153,sys_vhangup,0x99,,,,,,
154,sys_modify_ldt,0x9A,int func,void *ptr,unsigned long bytecount,,,
155,sys_pivot_root,0x9B,const char *new_root,const char *put_old,,,,
156,sys__sysctl,0x9C,struct __sysctl_args *args,,,,,
157,sys_prctl,0x9D,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
158,sys_arch_prctl,0x9E,struct task_struct *task,int code,unsigned long *addr,,,
159,sys_adjtimex,0x9F,struct timex *txc_p,,,,,
160,sys_setrlimit,0xA0,unsigned int resource,struct rlimit *rlim,,,,
161,sys_chroot,0xA1,const char *filename,,,,,
162,sys_sync,0xA2,,,,,,
163,sys_acct,0xA3,const char *name,,,,,
164,sys_settimeofday,0xA4,struct timeval *tv,struct timezone *tz,,,,
165,sys_mount,0xA5,char *dev_name,char *dir_name,char *type,unsigned long flags,void *data,
166,sys_umount2,0xA6,const char *target,int flags,,,,
167,sys_swapon,0xA7,const char *specialfile,int swap_flags,,,,
168,sys_swapoff,0xA8,const char *specialfile,,,,,
169,sys_reboot,0xA9,int magic1,int magic2,unsigned int cmd,void *arg,,
170,sys_sethostname,0xAA,char *name,int len,,,,
171,sys_setdomainname,0xAB,char *name,int len,,,,
172,sys_iopl,0xAC,unsigned int level,struct pt_regs *regs,,,,
173,sys_ioperm,0xAD,unsigned long from,unsigned long num,int turn_on,,,
174,sys_create_module,0xAE,REMOVED IN Linux 2.6,,,,,
175,sys_init_module,0xAF,void *umod,unsigned long len,const char *uargs,,,
176,sys_delete_module,0xB0,const chat *name_user,unsigned int flags,,,,
177,sys_get_kernel_syms,0xB1,REMOVED IN Linux 2.6,,,,,
178,sys_query_module,0xB2,REMOVED IN Linux 2.6,,,,,
179,sys_quotactl,0xB3,unsigned int cmd,const char *special,qid_t id,void *addr,,
180,sys_nfsservctl,0xB4,NOT IMPLEMENTED,,,,,
181,sys_getpmsg,0xB5,NOT IMPLEMENTED,,,,,
182,sys_putpmsg,0xB6,NOT IMPLEMENTED,,,,,
183,sys_afs_syscall,0xB7,NOT IMPLEMENTED,,,,,
184,sys_tuxcall,0xB8,NOT IMPLEMENTED,,,,,
185,sys_security,0xB9,NOT IMPLEMENTED,,,,,
186,sys_gettid,0xBA,,,,,,
187,sys_readahead,0xBB,int fd,loff_t offset,size_t count,,,
188,sys_setxattr,0xBC,const char *pathname,const char *name,const void *value,size_t size,int flags,
189,sys_lsetxattr,0xBD,const char *pathname,const char *name,const void *value,size_t size,int flags,
190,sys_fsetxattr,0xBE,int fd,const char *name,const void *value,size_t size,int flags,
191,sys_getxattr,0xBF,const char *pathname,const char *name,void *value,size_t size,,
192,sys_lgetxattr,0xC0,const char *pathname,const char *name,void *value,size_t size,,
193,sys_fgetxattr,0xC1,int fd,const har *name,void *value,size_t size,,
194,sys_listxattr,0xC2,const char *pathname,char *list,size_t size,,,
195,sys_llistxattr,0xC3,const char *pathname,char *list,size_t size,,,
196,sys_flistxattr,0xC4,int fd,char *list,size_t size,,,
197,sys_removexattr,0xC5,const char *pathname,const char *name,,,,
198,sys_lremovexattr,0xC6,const char *pathname,const char *name,,,,
199,sys_fremovexattr,0xC7,int fd,const char *name,,,,
200,sys_tkill,0xC8,pid_t pid,ing sig,,,,
201,sys_time,0xC9,time_t *tloc,,,,,
202,sys_futex,0xCA,u32 *uaddr,int op,u32 val,struct timespec *utime,u32 *uaddr2,u32 val3
203,sys_sched_setaffinity,0xCB,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,
204,sys_sched_getaffinity,0xCC,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,
205,sys_set_thread_area,0xCD,NOT IMPLEMENTED. Use arch_prctl,,,,,
206,sys_io_setup,0xCE,unsigned nr_events,aio_context_t *ctxp,,,,
207,sys_io_destroy,0xCF,aio_context_t ctx,,,,,
208,sys_io_getevents,0xD0,aio_context_t ctx_id,long min_nr,long nr,struct io_event *events,,
209,sys_io_submit,0xD1,aio_context_t ctx_id,long nr,struct iocb **iocbpp,,,
210,sys_io_cancel,0xD2,aio_context_t ctx_id,struct iocb *iocb,struct io_event *result,,,
211,sys_get_thread_area,0xD3,NOT IMPLEMENTED. Use arch_prctl,,,,,
212,sys_lookup_dcookie,0xD4,u64 cookie64,long buf,long len,,,
213,sys_epoll_create,0xD5,int size,,,,,
214,sys_epoll_ctl_old,0xD6,NOT IMPLEMENTED,,,,,
215,sys_epoll_wait_old,0xD7,NOT IMPLEMENTED,,,,,
216,sys_remap_file_pages,0xD8,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,
217,sys_getdents64,0xD9,unsigned int fd,struct linux_dirent64 *dirent,unsigned int count,,,
218,sys_set_tid_address,0xDA,int *tidptr,,,,,
219,sys_restart_syscall,0xDB,,,,,,
220,sys_semtimedop,0xDC,int semid,struct sembuf *tsops,unsigned nsops,const struct timespec *timeout,,
221,sys_fadvise64,0xDD,int fd,loff_t offset,size_t len,int advice,,
222,sys_timer_create,0xDE,const clockid_t which_clock,struct sigevent *timer_event_spec,timer_t *created_timer_id,,,
223,sys_timer_settime,0xDF,timer_t timer_id,int flags,const struct itimerspec *new_setting,struct itimerspec *old_setting,,
224,sys_timer_gettime,0xE0,timer_t timer_id,struct itimerspec *setting,,,,
225,sys_timer_getoverrun,0xE1,timer_t timer_id,,,,,
226,sys_timer_delete,0xE2,timer_t timer_id,,,,,
227,sys_clock_settime,0xE3,const clockid_t which_clock,const struct timespec *tp,,,,
228,sys_clock_gettime,0xE4,const clockid_t which_clock,struct timespec *tp,,,,
229,sys_clock_getres,0xE5,const clockid_t which_clock,struct timespec *tp,,,,
230,sys_clock_nanosleep,0xE6,const clockid_t which_clock,int flags,const struct timespec *rqtp,struct timespec *rmtp,,
231,sys_exit_group,0xE7,int error_code,,,,,
232,sys_epoll_wait,0xE8,int epfd,struct epoll_event *events,int maxevents,int timeout,,
233,sys_epoll_ctl,0xE9,int epfd,int op,int fd,struct epoll_event *event,,
234,sys_tgkill,0xEA,pid_t tgid,pid_t pid,int sig,,,
235,sys_utimes,0xEB,char *filename,struct timeval *utimes,,,,
236,sys_vserver,0xEC,NOT IMPLEMENTED,,,,,
237,sys_mbind,0xED,unsigned long start,unsigned long len,unsigned long mode,unsigned long *nmask,unsigned long maxnode,unsigned flags
238,sys_set_mempolicy,0xEE,int mode,unsigned long *nmask,unsigned long maxnode,,,
239,sys_get_mempolicy,0xEF,int *policy,unsigned long *nmask,unsigned long maxnode,unsigned long addr,unsigned long flags,
240,sys_mq_open,0xF0,const char *u_name,int oflag,mode_t mode,struct mq_attr *u_attr,,
241,sys_mq_unlink,0xF1,const char *u_name,,,,,
242,sys_mq_timedsend,0xF2,mqd_t mqdes,const char *u_msg_ptr,size_t msg_len,unsigned int msg_prio,const stuct timespec *u_abs_timeout,
243,sys_mq_timedreceive,0xF3,mqd_t mqdes,char *u_msg_ptr,size_t msg_len,unsigned int *u_msg_prio,const struct timespec *u_abs_timeout,
244,sys_mq_notify,0xF4,mqd_t mqdes,const struct sigevent *u_notification,,,,
245,sys_mq_getsetattr,0xF5,mqd_t mqdes,const struct mq_attr *u_mqstat,struct mq_attr *u_omqstat,,,
246,sys_kexec_load,0xF6,unsigned long entry,unsigned long nr_segments,struct kexec_segment *segments,unsigned long flags,,
247,sys_waitid,0xF7,int which,pid_t upid,struct siginfo *infop,int options,struct rusage *ru,
248,sys_add_key,0xF8,const char *_type,const char *_description,const void *_payload,size_t plen,,
249,sys_request_key,0xF9,const char *_type,const char *_description,const char *_callout_info,key_serial_t destringid,,
250,sys_keyctl,0xFA,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
251,sys_ioprio_set,0xFB,int which,int who,int ioprio,,,
252,sys_ioprio_get,0xFC,int which,int who,,,,
253,sys_inotify_init,0xFD,,,,,,
254,sys_inotify_add_watch,0xFE,int fd,const char *pathname,u32 mask,,,
255,sys_inotify_rm_watch,0xFF,int fd,__s32 wd,,,,
256,sys_migrate_pages,0x100,pid_t pid,unsigned long maxnode,const unsigned long *old_nodes,const unsigned long *new_nodes,,
257,sys_openat,0x101,int dfd,const char *filename,int flags,int mode,,
258,sys_mkdirat,0x102,int dfd,const char *pathname,int mode,,,
259,sys_mknodat,0x103,int dfd,const char *filename,int mode,unsigned dev,,
260,sys_fchownat,0x104,int dfd,const char *filename,uid_t user,gid_t group,int flag,
261,sys_futimesat,0x105,int dfd,const char *filename,struct timeval *utimes,,,
262,sys_newfstatat,0x106,int dfd,const char *filename,struct stat *statbuf,int flag,,
263,sys_unlinkat,0x107,int dfd,const char *pathname,int flag,,,
264,sys_renameat,0x108,int oldfd,const char *oldname,int newfd,const char *newname,,
265,sys_linkat,0x109,int oldfd,const char *oldname,int newfd,const char *newname,int flags,
266,sys_symlinkat,0x10A,const char *oldname,int newfd,const char *newname,,,
267,sys_readlinkat,0x10B,int dfd,const char *pathname,char *buf,int bufsiz,,
268,sys_fchmodat,0x10C,int dfd,const char *filename,mode_t mode,,,
269,sys_faccessat,0x10D,int dfd,const char *filename,int mode,,,
270,sys_pselect6,0x10E,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timespec *tsp,void *sig
271,sys_ppoll,0x10F,struct pollfd *ufds,unsigned int nfds,struct timespec *tsp,const sigset_t *sigmask,size_t sigsetsize,
272,sys_unshare,0x110,unsigned long unshare_flags,,,,,
273,sys_set_robust_list,0x111,struct robust_list_head *head,size_t len,,,,
274,sys_get_robust_list,0x112,int pid,struct robust_list_head **head_ptr,size_t *len_ptr,,,
275,sys_splice,0x113,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t len,unsigned int flags
276,sys_tee,0x114,int fdin,int fdout,size_t len,unsigned int flags,,
277,sys_sync_file_range,0x115,long fd,loff_t offset,loff_t bytes,long flags,,
278,sys_vmsplice,0x116,int fd,const struct iovec *iov,unsigned long nr_segs,unsigned int flags,,
279,sys_move_pages,0x117,pid_t pid,unsigned long nr_pages,const void **pages,const int *nodes,int *status,int flags
280,sys_utimensat,0x118,int dfd,const char *filename,struct timespec *utimes,int flags,,
281,sys_epoll_pwait,0x119,int epfd,struct epoll_event *events,int maxevents,int timeout,const sigset_t *sigmask,size_t sigsetsize
282,sys_signalfd,0x11A,int ufd,sigset_t *user_mask,size_t sizemask,,,
283,sys_timerfd_create,0x11B,int clockid,int flags,,,,
284,sys_eventfd,0x11C,unsigned int count,,,,,
285,sys_fallocate,0x11D,long fd,long mode,loff_t offset,loff_t len,,
286,sys_timerfd_settime,0x11E,int ufd,int flags,const struct itimerspec *utmr,struct itimerspec *otmr,,
287,sys_timerfd_gettime,0x11F,int ufd,struct itimerspec *otmr,,,,
288,sys_accept4,0x120,int fd,struct sockaddr *upeer_sockaddr,int *upeer_addrlen,int flags,,
289,sys_signalfd4,0x121,int ufd,sigset_t *user_mask,size_t sizemask,int flags,,
290,sys_eventfd2,0x122,unsigned int count,int flags,,,,
291,sys_epoll_create1,0x123,int flags,,,,,
292,sys_dup3,0x124,unsigned int oldfd,unsigned int newfd,int flags,,,
293,sys_pipe2,0x125,int *filedes,int flags,,,,
294,sys_inotify_init1,0x126,int flags,,,,,
295,sys_preadv,0x127,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,
296,sys_pwritev,0x128,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,
297,sys_rt_tgsigqueueinfo,0x129,pid_t tgid,pid_t pid,int sig,siginfo_t *uinfo,,
298,sys_perf_event_open,0x12A,struct perf_event_attr *attr_uptr,pid_t pid,int cpu,int group_fd,unsigned long flags,
299,sys_recvmmsg,0x12B,int fd,struct msghdr *mmsg,unsigned int vlen,unsigned int flags,struct timespec *timeout,
300,sys_fanotify_init,0x12C,unsigned int flags,unsigned int event_f_flags,,,,
301,sys_fanotify_mark,0x12D,long fanotify_fd,long flags,__u64 mask,long dfd,long pathname,
302,sys_prlimit64,0x12E,pid_t pid,unsigned int resource,const struct rlimit64 *new_rlim,struct rlimit64 *old_rlim,,
303,sys_name_to_handle_at,0x12F,int dfd,const char *name,struct file_handle *handle,int *mnt_id,int flag,
304,sys_open_by_handle_at,0x130,int dfd,const char *name,struct file_handle *handle,int *mnt_id,int flags,
305,sys_clock_adjtime,0x131,clockid_t which_clock,struct timex *tx,,,,
306,sys_syncfs,0x132,int fd,,,,,
307,sys_sendmmsg,0x133,int fd,struct mmsghdr *mmsg,unsigned int vlen,unsigned int flags,,
308,sys_setns,0x134,int fd,int nstype,,,,
309,sys_getcpu,0x135,unsigned *cpup,unsigned *nodep,struct getcpu_cache *unused,,,
310,sys_process_vm_readv,0x136,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags
311,sys_process_vm_writev,0x137,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovcc *rvec,unsigned long riovcnt,unsigned long flags
312,sys_kcmp,pid_t pid1,pid_t pid2,int type,unsigned long idx1,unsigned long idx2,
313,sys_finit_module,int fd,const char __user *uargs,int flags,,,
314,sys_sched_setattr,pid_t pid,struct sched_attr __user *attr,unsigned int flags,,,
315,sys_sched_getattr,pid_t pid,struct sched_attr __user *attr,unsigned int size,unsigned int flags,,
316,sys_renameat2,int olddfd,const char __user *oldname,int newdfd,const char __user *newname,unsigned int flags,
317,sys_seccomp,unsigned int op,unsigned int flags,const char __user *uargs,,,
318,sys_getrandom,char __user *buf,size_t count,unsigned int flags,,,
319,sys_memfd_create,const char __user *uname_ptr,unsigned int flags,,,,
320,sys_kexec_file_load,int kernel_fd,int initrd_fd,unsigned long cmdline_len,const char __user *cmdline_ptr,unsigned long flags,
321,sys_bpf,int cmd,union bpf_attr *attr,unsigned int size,,,
322,stub_execveat,int dfd,const char __user *filename,const char __user *const __user *argv,const char __user *const __user *envp,int flags,
323,userfaultfd,int flags,,,,,
324,membarrier,int cmd,int flags,,,,
325,mlock2,unsigned long start,size_t len,int flags,,,
326,copy_file_range,int fd_in,loff_t __user *off_in,int fd_out,loff_t __user * off_out,size_t len,unsigned int flags
327,preadv2,unsigned long fd,const struct iovec __user *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,int flags
328,pwritev2,unsigned long fd,const struct iovec __user *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,int flags
329,pkey_mprotect,,,,,,
330,pkey_alloc,,,,,,
331,pkey_free,,,,,,
332,statx,,,,,,
333,io_pgetevents,,,,,,
334,rseq,,,,,,
335,pkey_mprotect,
